from,to,relationship,time,end,,
Rlorenzadlonesszimmer,saskur,6,NA,NA,,Rlorenzadlonesszimmer saskur 6
Rvendome,saskur,6,NA,NA,,Rvendome saskur 6
joawis,saskur,2,NA,NA,,joawis saskur 2
Rtuluslotrek,maxstr,3,2015,x,,Rtuluslotrek maxstr 3
benmae,Rmaerz,5,2010,x,,benmae Rmaerz 5
clihae,Rhämmerlesrestaurantbarrique,3,1993,x,,clihae Rhämmerlesrestaurantbarrique 3
raihal,Rhalbedelsgasthaus,3,NA,NA,,raihal Rhalbedelsgasthaus 3
chrstu,Ryunico,3,2011,x,,chrstu Ryunico 3
marren,Rsterneck,3,2012,x,,marren Rsterneck 3
Rmaintowerrestaurantundlounge,marren,6,2002,2005,,Rmaintowerrestaurantundlounge marren 6
marweg,marren,2,2002,2005,,marweg marren 2
davrin,Rox,3,2019,x,,davrin Rox 3
flokuc,Rkuchersgourmet,3,NA,NA,,flokuc Rkuchersgourmet 3
dankle,Rkook36,3,NA,NA,,dankle Rkook36 3
steneu,Rschwarzerhahn,3,2000,x,,steneu Rschwarzerhahn 3
feljar,Rschwarzerhahn,3,NA,x,,feljar Rschwarzerhahn 3
bjölei,Rbjörnsox,5,2018,x,,bjölei Rbjörnsox 5
jandie,Rjandiekjobstrestaurant,3,2019,x,,jandie Rjandiekjobstrestaurant 3
Rvictorsfinedinigbychristianbau,jandie,6,2016,2016,,Rvictorsfinedinigbychristianbau jandie 6
chrbau,jandie,2,2016,2016,,chrbau jandie 2
Rthetablekevinfehling,jandie,6,2017,2018,,Rthetablekevinfehling jandie 6
kevfeh,jandie,2,2017,2018,,kevfeh jandie 2
matsto,Rostseelounge,3,2022,x,,matsto Rostseelounge 3
matsto,Rvendome,6,NA,NA,,matsto Rvendome 6
joawis,matsto,2,NA,NA,,joawis matsto 2
matsto,Rgourmetrestaurantderbutt,6,2012,NA,,matsto Rgourmetrestaurantderbutt 6
andmün,matsto,2,2012,NA,,andmün matsto 2
matsto,Rdiebrasserie,6,2017,NA,,matsto Rdiebrasserie 6
vjepav,matsto,2,2017,NA,,vjepav matsto 2
andbei,Rostseelounge,3,2022,x,,andbei Rostseelounge 3
andbei,Rdiebrasserie,6,2012,2019,,andbei Rdiebrasserie 6
vjepav,andbei,2,2012,2019,,vjepav andbei 2
ronsie,Rfriedrichfranz,3,2008,x,,ronsie Rfriedrichfranz 3
bjöfrei,Rgoldeneranker,3,1997,x,,bjöfrei Rgoldeneranker 3
Rente,bjöfrei,6,1995,NA,,Rente bjöfrei 6
mickam,bjöfrei,2,1995,NA,,mickam bjöfrei 2
fraros,Rrosin,3,1991,x,,fraros Rrosin 3
dirgram,Rgrammonsrestaurant,3,NA,NA,,dirgram Rgrammonsrestaurant 3
micdyl,Rthestage,3,2021,x,,micdyl Rthestage 3
Rschlossloersfeld,micdyl,6,NA,NA,,Rschlossloersfeld micdyl 6
geomim,micdyl,2,NA,NA,,geomim micdyl 2
stemieß,Relements,3,NA,NA,,stemieß Relements 3
marblo,Rgenussatelier,3,2014,x,,marblo Rgenussatelier 3
Rvictorsfinedinigbychristianbau,marblo,6,2013,NA,,Rvictorsfinedinigbychristianbau marblo 6
chrbau,marblo,2,2013,NA,,chrbau marblo 2
stefhum,Rhummelsgourmetstube,5,2006,x,,stefhum Rhummelsgourmetstube 5
Rroterhahn,stefhum,4,1997,NA,,Rroterhahn stefhum 4
maxsch,stefhum,1,1997,NA,,maxsch stefhum 1
stefhum,Rlandhausfeckl,6,2000,NA,,stefhum Rlandhausfeckl 6
frafec,stefhum,2,2000,NA,,frafec stefhum 2
stefhum,Rfalconera,6,2002,NA,,stefhum Rfalconera 6
johwuh,stefhum,2,2002,NA,,johwuh stefhum 2
svenoe,Rmodbysvennöthel,3,NA,NA,,svenoe Rmodbysvennöthel 3
dandal,R1876danieldalben,3,NA,NA,,dandal R1876danieldalben 3
marfoe,Ragatas,3,2021,x,,marfoe Ragatas 3
marfoe,Ranthonyskitchen,6,NA,NA,,marfoe Ranthonyskitchen 6
antsar,marfoe,2,NA,NA,,antsar marfoe 2
voldrk,Rdrkosch,3,2016,x,,voldrk Rdrkosch 3
voldrk,Rcolombirestaurant,6,1990,1994,,voldrk Rcolombirestaurant 6
henwei,voldrk,2,1990,1994,,henwei voldrk 2
sveusi,voldrk,2,1990,1994,,sveusi voldrk 2
voldrk,Rtantris,6,1995,1996,,voldrk Rtantris 6
benchm,voldrk,2,1995,1996,,benchm voldrk 2
jeabou,Rimschiffchen,5,1987,x,,jeabou Rimschiffchen 5
dancer,Rleflair,3,NA,NA,,dancer Rleflair 3
yosnag,Rnagaya,5,2003,x,,yosnag Rnagaya 5
phiwol,Rphoenix,3,2016,x,,phiwol Rphoenix 3
Rwielandshöhe,phiwol,4,1995,1997,,Rwielandshöhe phiwol 4
vinkli,phiwol,1,1995,1997,,vinkli phiwol 1
phiwol,Rwaldhotelsonnora,6,1999,2000,,phiwol Rwaldhotelsonnora 6
phiwol,Rrestaurantbareiss,6,1997,1999,,phiwol Rrestaurantbareiss 6
phiwol,clalum,2,1997,1999,,phiwol clalum 2
yosnag,Ryoshibynagaya,5,2016,x,,yosnag Ryoshibynagaya 5
brwaw,Rtraube,3,NA,NA,,brwaw Rtraube 3
frafec,Rlandhausfeckl,5,2000,x,,frafec Rlandhausfeckl 5
frafec,Rtantris,6,1978,1979,,frafec Rtantris 6
benchm,frafec,2,1978,1979,,benchm frafec 2
johfra,Rjean,3,NA,NA,,johfra Rjean 3
thomer,Rmerklesrestaurant,3,NA,NA,,thomer Rmerklesrestaurant 3
alewul,Rvendome,6,NA,NA,,alewul Rvendome 6
alewul,Rtroyka,3,2020,x,,alewul Rtroyka 3
markok,Rtroyka,3,2020,x,,markok Rtroyka 3
tobwey,Rhannappel,3,NA,NA,,tobwey Rhannappel 3
nelmue,Rschote,5,2009,x,,nelmue Rschote 5
nelmue,Rorangerie,6,NA,NA,,nelmue Rorangerie 6
lutnie,nelmue,2,NA,NA,,lutnie nelmue 2
ralkne,Rerbprinz,3,NA,NA,,ralkne Rerbprinz 3
filczm,Rbembergshäuschen,3,2018,x,,filczm Rbembergshäuschen 3
filczm,Rvendome,6,NA,NA,,filczm Rvendome 6
joawis,filczm,2,NA,NA,,joawis filczm 2
filczm,Roxklee,6,NA,NA,,filczm Roxklee 6
dangot,filczm,2,NA,NA,,dangot filczm 2
dansch,Ralteschuleklassenzimmer,5,NA,NA,,dansch Ralteschuleklassenzimmer 5
kaylur,Rgourmetrestaurantnicoburkhardt,6,2019,2020,,kaylur Rgourmetrestaurantnicoburkhardt 6
nicbur,kaylur,2,2019,2020,,nicbur kaylur 2
kaylur,Roettingersrestaurant,3,2023,x,,kaylur Roettingersrestaurant 3
quibru,Rdasgrace,3,2020,x,,quibru Rdasgrace 3
quibru,Rkai3,6,NA,NA,,quibru Rkai3 6
felgab,quibru,2,NA,NA,,felgab quibru 2
rendit,Raltwyk,3,NA,NA,,rendit Raltwyk 3
eriarn,Rphilippsoldan,3,2015,x,,eriarn Rphilippsoldan 3
benrus,Rcarmelogreco,5,2010,x,,benrus Rcarmelogreco 5
cargre,Rcarmelogreco,3,2017,x,,cargre Rcarmelogreco 3
valmat,Rernosbistro,3,NA,NA,,valmat Rernosbistro 3
marweg,Rmaintowerrestaurantundlounge,3,NA,NA,,marweg Rmaintowerrestaurantundlounge 3
masoae,Rmasajapanesecuisine,3,NA,NA,,masoae Rmasajapanesecuisine 3
phigia,Rrestaurantvillamerton,3,NA,NA,,phigia Rrestaurantvillamerton 3
ricsaw,Rsevenswans,3,2018,x,,ricsaw Rsevenswans 3
ricsaw,Rrestaurantvillamerton,6,NA,NA,,ricsaw Rrestaurantvillamerton 6
phigia,ricsaw,2,NA,NA,,phigia ricsaw 2
danple,Rweinsinn,3,NA,NA,,danple Rweinsinn 3
micschl,Rmichaelsleitenberg,3,NA,NA,,micschl Rmichaelsleitenberg 3
danrau,Rgenießerstube,3,2007,x,,danrau Rgenießerstube 3
chrste,Rchristianandfriendstastekitchen,3,NA,NA,,chrste Rchristianandfriendstastekitchen 3
edmsch,Rwernersrestaurant,3,NA,NA,,edmsch Rwernersrestaurant 3
nicwied,Reckert,3,2014,x,,nicwied Reckert 3
micque,Rmühlenhelle,3,2007,x,,micque Rmühlenhelle 3
chrbau,Rspeiseberg,3,2024,x,,chrbau Rspeiseberg 3
dangeo,Rratsstuben,3,NA,NA,,dangeo Rratsstuben 3
stefät,Rjellyfish,5,2019,x,,stefät Rjellyfish 5
stefät,Rfavoriterestaurant,6,NA,NA,,stefät Rfavoriterestaurant 6
tobsch,stefät,2,NA,NA,,tobsch stefät 2
,,,,,,  
heiweh,Rlandhausscherrer,3,1981,x,,heiweh Rlandhausscherrer 3
heiweh,Rlandhausscherrer,5,1981,x,,heiweh Rlandhausscherrer 5
wahnou,Rpiment,3,2000,x,,wahnou Rpiment 3
wahnou,Rpiment,5,2000,x,,wahnou Rpiment 5
wahnou,Rschwarzwaldstube,6,1991,1992,,wahnou Rschwarzwaldstube 6
mauost,Rzeik,3,2018,x,,mauost Rzeik 3
mauost,Rzeik,5,2018,x,,mauost Rzeik 5
thowoh,Rhandwerk,3,2016,x,,thowoh Rhandwerk 3
thowoh,Rhandwerk,5,2016,x,,thowoh Rhandwerk 5
robräd,Roben,3,2017,x,,robräd Roben 3
robräd,Roben,5,2017,x,,robräd Roben 5
petnie,Rlavalleeverte,3,2018,x,,petnie Rlavalleeverte 3
petnie,Rhirschen,6,NA,NA,,petnie Rhirschen 6
conkai,Rletable,3,2020,x,,conkai Rletable 3
flovog,Rcamersschlossrestaurant,3,2015,x,,flovog Rcamersschlossrestaurant 3
flovog,Rvictorsfinediningbychristianbau,6,2009,2010,,flovog Rvictorsfinediningbychristianbau 6
flovog,Raloisdallmayrfinedining,6,2010,2011,,flovog Raloisdallmayrfinedining 6
chrfle,Rchevalblanc,3,2018,x,,chrfle Rchevalblanc 3
Igoyak,Rtawayamafine,3,2022,x,,Igoyak Rtawayamafine 3
Rpavoimburghotelfalkenstein,Igoyak,4,NA,NA,,Rpavoimburghotelfalkenstein Igoyak 4
Igoyak,Rsilberdistel,6,NA,NA,,Igoyak Rsilberdistel 6
joamal,Rmalathounis,3,1993,x,,joamal Rmalathounis 3
joamal,Rmalathounis,5,1993,x,,joamal Rmalathounis 5
thobell,Rschlossloersfeld,3,1992,x,,thobell Rschlossloersfeld 3
thobell,Rschlossloersfeld,5,1992,x,,thobell Rschlossloersfeld 5
dirsch,Rweinschänkeschlossgroenesteyn,3,2018,x,,dirsch Rweinschänkeschlossgroenesteyn 3
dirsch,Rweinschänkeschlossgroenesteyn,5,2018,x,,dirsch Rweinschänkeschlossgroenesteyn 5
dirsch,Rtantris,6,2000,2004,,dirsch Rtantris 6
dirsch,Rvendome,6,2005,2006,,dirsch Rvendome 6
joawis,dirsch,2,2005,2006,,joawis
chrgra,Rchristiansrestaurantgasthofgrainer,3,1990,x,,chrgra Rchristiansrestaurantgasthofgrainer 3
chrgra,Rchristiansrestaurantgasthofgrainer,5,1990,x,,chrgra Rchristiansrestaurantgasthofgrainer 5
Rchristiansrestaurantgasthofgrainer,chrgra,4,NA,1982,,Rchristiansrestaurantgasthofgrainer chrgra 4
chrgra,Rrestaurantbareiss,6,1985,1988,,chrgra Rrestaurantbareiss 6
mansch,Rschwarzgourmet,3,2017,x,,mansch Rschwarzgourmet 3
mansch,Rschwarzgourmet,5,2017,x,,mansch Rschwarzgourmet 5
mansch,Rtantris,6,1980,1981,,mansch Rtantris 6
mansch,Rrestaurantbareiss,3,1982,1989,,mansch Rrestaurantbareiss 3
fredes,Rlaudensacksgourmetrestaurant,3,2009,x,,fredes Rlaudensacksgourmetrestaurant 3
fredes,Rcolombirestaurant,6,NA,NA,,fredes Rcolombirestaurant 6
frasey,Rgotthardts,3,NA,x,,frasey Rgotthardts 3
miksch,Rschillersmanufaktur,3,2004,x,,miksch Rschillersmanufaktur 3
miksch,Rschillersmanufaktur,5,2004,x,,miksch Rschillersmanufaktur 5
robcar,Ralfredo,3,1973,x,,robcar Ralfredo 3
robcar,Ralfredo,5,1973,x,,robcar Ralfredo 5
eriwer,Rastrein,3,2019,x,,eriwer Rastrein 3
eriwer,Rastrein,5,2019,x,,eriwer Rastrein 5
marrad,Rlacuisinerademacher,3,2019,x,,marrad Rlacuisinerademacher 3
marrad,Rlacuisinerademacher,5,2019,x,,marrad Rlacuisinerademacher 5
marrad,Rwaldhotelsonnora,6,NA,NA,,marrad Rwaldhotelsonnora 6
leohof,Rlasociete,3,2021,x,,leohof Rlasociete 3
leohof,Rsölringhof,6,NA,NA,,leohof Rsölringhof 6
leohof,Raqua,6,NA,NA,,leohof Raqua 6
tobbec,Rmaibeck,3,2013,x,,tobbec Rmaibeck 3
tobbec,Rmaibeck,5,2013,x,,tobbec Rmaibeck 5
janmai,Rmaibeck,3,2013,x,,janmai Rmaibeck 3
janmai,Rmaibeck,5,2013,x,,janmai Rmaibeck 5
maxlor,Rmaximilianlorenz,3,2018,x,,maxlor Rmaximilianlorenz 3
maxlor,Rmaximilianlorenz,5,2018,x,,maxlor Rmaximilianlorenz 5
Rzurpost,maxlor,4,NA,NA,,Rzurpost maxlor 4
chrwil,maxlor,1,NA,NA,,chrwil maxlor 1
sonbau,Rneobiota,3,2018,x,,sonbau Rneobiota 3
sonbau,Rneobiota,5,2018,x,,sonbau Rneobiota 5
erische,Rneobiota,3,2018,x,,erische Rneobiota 3
erische,Rneobiota,5,2018,x,,erische Rneobiota 5
sonbau,Rgutlärchenhof,6,2008,2017,,sonbau Rgutlärchenhof 6
sonbau,Rgutlärchenhof,3,2014,2017,,sonbau Rgutlärchenhof 3
Rhalbedelsgasthaus,sonbau,4,2004,2007,,Rhalbedelsgasthaus sonbau 4
erische,Rvendome,6,2010,2013,,erische Rvendome 6
erische,Rlasociete,6,2013,2013,,erische Rlasociete 6
erische,Rgästehausklauserfort,6,2013,2014,,erische Rgästehausklauserfort 6
erische,Rgutlärchenhof,6,2014,2017,,erische Rgutlärchenhof 6
erische,Rgutlärchenhof,3,2015,2017,,erische Rgutlärchenhof 3
enrsab,Rpottkind,3,2018,x,,enrsab Rpottkind 3
enrsab,Rpottkind,5,2018,x,,enrsab Rpottkind 5
mirgau,Rtaku,3,NA,NA,,mirgau Rtaku 3
tholös,Rzurtant,3,2014,x,,tholös Rzurtant 3
tholös,Rzurtant,5,2014,x,,tholös Rzurtant 5
andwid,Rursprung,3,2017,x,,andwid Rursprung 3
andwid,Rursprung,5,2017,x,,andwid Rursprung 5
Roettingersrestaurant,andwid,4,NA,2010,,Roettingersrestaurant andwid 4
andwid,Ratelier,6,2011,2013,,andwid Ratelier 6
stebra,Rleosbystephanbrandl,3,2017,x,,stebra Rleosbystephanbrandl 3
stebra,Rimschiffchen,3,1999,2001,,stebra Rimschiffchen 3
raizei,Richweißeinhausamsee,3,2005,x,,raizei Richweißeinhausamsee 3
jochel,Rstorchen,3,NA,NA,,jochel Rstorchen 3
jochel,Rstorchen,5,NA,NA,,jochel Rstorchen 5
frihel,Rstorchen,3,NA,NA,,frihel Rstorchen 3
frihel,Rstorchen,5,NA,NA,,frihel Rstorchen 5
danfeh,Radler,3,2006,x,,danfeh Radler 3
danfeh,Rlandhausfeckl,6,2004,2005,,danfeh Rlandhausfeckl 6
rolpie,Rseoküchenhandwerk,3,NA,x,,rolpie Rseoküchenhandwerk 3
hanhäg,Rgasthofzumbad,3,2007,x,,hanhäg Rgasthofzumbad 3
hanhäg,Rlandhausfeckl,6,2003,2005,,hanhäg Rlandhausfeckl 6
margri,Rkeidenzellerhof,3,NA,x,,margri Rkeidenzellerhof 3
lisang,Rfrieda,3,2018,x,,lisang Rfrieda 3
lisang,Rfrieda,5,2018,x,,lisang Rfrieda 5
andrei,Rfrieda,3,2018,x,,andrei Rfrieda 3
andrei,Rfrieda,5,2018,x,,andrei Rfrieda 5
Rfalco,lisang,4,2008,NA,,Rfalco lisang 4
detsch,Rstadtpfeiffer,3,2001,x,,detsch Rstadtpfeiffer 3
alehoh,R360°,3,2016,x,,alehoh R360° 3
alehoh,R360°,5,2016,x,,alehoh R360° 5
tonneu,Rvillino,3,2017,x,,tonneu Rvillino 3
roypet,Rwullenwever,3,1990,x,,roypet Rwullenwever 3
roypet,Rwullenwever,5,1990,x,,roypet Rwullenwever 5
roypet,Rlandhausscherrer,6,NA,NA,,roypet Rlandhausscherrer 6
heiweh,roypet,2,NA,NA,,heiweh roypet 2
tobsch,Rfavoriterestaurant,3,2020,x,,tobsch Rfavoriterestaurant 3
tobsch,Rrestaurantvillamerton,6,NA,NA,,tobsch Rrestaurantvillamerton 6
tobsch,Rlafleur,6,NA,NA,,tobsch Rlafleur 6
phiste,Rsteinstraube,3,2019,x,,phiste Rsteinstraube 3
phiste,Rsteinstraube,5,2019,x,,phiste Rsteinstraube 5
phiste,Rente,6,NA,NA,,phiste Rente 6
phiste,Rfavoriterestaurant,6,NA,NA,,phiste Rfavoriterestaurant 6
phiste,Rwaldhotelsonnora,6,NA,NA,,phiste Rwaldhotelsonnora 6
erischu,Rdoblers,3,2023,x,,erischu Rdoblers 3
antsar,Ranthonyskitchen,3,2015,x,,antsar Ranthonyskitchen 3
antsar,Ranthonyskitchen,5,2015,x,,antsar Ranthonyskitchen 5
antsar,Rsteinheuersrestaurantzuraltenpost,6,NA,NA,,antsar Rsteinheuersrestaurantzuraltenpost 6
marphi,Rcasala,3,2008,x,,marphi Rcasala 3
marphi,Rschwarzwaldstube,6,2002,2004,,marphi Rschwarzwaldstube 6
marphi,Rwielandshöhe,6,2004,2008,,marphi Rwielandshöhe 6
andhil,Rdasmarktrestaurant,3,2010,x,,andhil Rdasmarktrestaurant 3
andhil,Rdasmarktrestaurant,5,2010,x,,andhil Rdasmarktrestaurant 5
margam,Racquarello,3,1994,x,,margam Racquarello 3
margam,Racquarello,5,1994,x,,margam Racquarello 5
margam,Rtantris,6,1980,1986,,margam Rtantris 6
flober,Rgabelspiel,3,2016,x,,flober Rgabelspiel 3
flober,Rgabelspiel,5,2016,x,,flober Rgabelspiel 5
flober,Rtantris,6,NA,NA,,flober Rtantris 6
natleb,Rlesdeux,3,2020,x,,natleb Rlesdeux 3
natleb,Ratelier,6,NA,NA,,natleb Ratelier 6
natleb,Rmeiereidirkluther,6,NA,NA,,natleb Rmeiereidirkluther 6
martau,Rmountainhubgourmet,3,2023,x,,martau Rmountainhubgourmet 3
martau,Rschwarzwaldstube,6,NA,NA,,martau Rschwarzwaldstube 6
martau,Rjellyfish,6,2018,2019,,martau Rjellyfish 6
martau,Rweinsinn,6,2019,2020,,martau Rweinsinn 6
joslei,Rmural,3,2018,x,,joslei Rmural 3
Rsölringhof,joslei,4,2014,2017,,Rsölringhof joslei 4
joslei,Ratelier,6,2017,2018,,joslei Ratelier 6
domkäp,Rshowroom,3,2017,x,,domkäp Rshowroom 3
tobbac,Rshowroom,3,2022,x,,tobbac Rshowroom 3
jürwol,Rsparklingbistro,3,2015,x,,jürwol Rsparklingbistro 3
jürwol,Rsparklingbistro,5,2015,x,,jürwol Rsparklingbistro 5
benchm,Rtantrisdna,3,2021,x,,benchm Rtantrisdna 3
sigsch,Rwerneckhofsigischelling,3,2021,x,,sigsch Rwerneckhofsigischelling 3
sigsch,Rwerneckhofsigischelling,5,2021,x,,sigsch Rwerneckhofsigischelling 5
sigsch,Rtantris,6,2006,2021,,sigsch Rtantris 6
harrüs,Rrüsselslandhaus,3,1992,x,,harrüs Rrüsselslandhaus 3
harrüs,Rrüsselslandhaus,5,1992,x,,harrüs Rrüsselslandhaus 5
claurr,Raltebaiz,3,2018,x,,claurr Raltebaiz 3
claurr,Rwielandshöhe,6,1992,1994,,claurr Rwielandshöhe 6
claurr,Rspeisemeisterei,6,1994,1995,,claurr Rspeisemeisterei 6
claurr,Rfünf,6,2015,2018,,claurr Rfünf 6
claurr,Raltebaiz,5,2018,x,,claurr Raltebaiz 5
chrdet,Rletemple,3,1992,x,,chrdet Rletemple 3
chrdet,Rletemple,5,1992,x,,chrdet Rletemple 5
olisch,Rletemple,3,1992,x,,olisch Rletemple 3
olisch,Rletemple,5,1992,x,,olisch Rletemple 5
chrdet,Rwaldhotelsonnora,6,NA,NA,,chrdet Rwaldhotelsonnora 6
olisch,Rwaldhotelsonnora,6,NA,NA,,olisch Rwaldhotelsonnora 6
tobschl,Rburgnideggenbrockelschlimbach,3,2017,x,,tobschl Rburgnideggenbrockelschlimbach 3
herbro,Rburgnideggenbrockelschlimbach,3,2017,x,,herbro Rburgnideggenbrockelschlimbach 3
thogil,Rclostermannslegourmet,3,2018,x,,thogil Rclostermannslegourmet 3
matach,Rbuchnerwelchenberg1658,3,2014,x,,matach Rbuchnerwelchenberg1658 3
markeb,Rseesteg,3,2012,x,,markeb Rseesteg 3
markeb,Rsterneck,6,1995,2012,,markeb Rsterneck 6
joakai,Rwirtshausmeyerskeller,3,1984,x,,joakai Rwirtshausmeyerskeller 3
joakai,Rwirtshausmeyerskeller,5,1984,x,,joakai Rwirtshausmeyerskeller 5
fabden,Rentenstuben,3,2014,x,,fabden Rentenstuben 3
fabden,Rentenstuben,5,2014,x,,fabden Rentenstuben 5
fabden,Rlorenzadlonesszimmer,6,2001,2003,,fabden Rlorenzadlonesszimmer 6
fabden,Rwaldhotelsonnora,6,2010,2011,,fabden Rwaldhotelsonnora 6
fabden,Rkochundkellner,6,2011,2014,,fabden Rkochundkellner 6
felbru,Rkochundkellner,3,NA,x,,felbru Rkochundkellner 3
vadkar,Rveles,3,2021,x,,vadkar Rveles 3
vadkar,Rveles,5,2021,x,,vadkar Rveles 5
valrot,Rwaidwerk,3,2018,x,,valrot Rwaidwerk 3
valrot,Rsölringhof,6,NA,NA,,valrot Rsölringhof 6
stemei,Rzweisinnmeiersfinedining,3,2016,x,,stemei Rzweisinnmeiersfinedining 3
stemei,Rzweisinnmeiersfinedining,5,2016,x,,stemei Rzweisinnmeiersfinedining 5
stemei,Rgutlärchenhof,6,2008,2010,,stemei Rgutlärchenhof 6
stemei,Rlammrosswag,6,2014,2016,,stemei Rlammrosswag 6
petstr,Ressatelierstrauss,3,2011,x,,petstr Ressatelierstrauss 3
chrwil,Rzurpost,3,2003,x,,chrwil Rzurpost 3
chrwil,Rzurpost,5,2003,x,,chrwil Rzurpost 5
alewil,Rzurpost,3,2003,x,,alewil Rzurpost 3
alewil,Rzurpost,5,2003,x,,alewil Rzurpost 5
flowag,Rsilberdistel,3,2018,x,,flowag Rsilberdistel 3
johwuh,Rfalconera,3,2002,x,,johwuh Rfalconera 3
larkei,Rfriedrich,3,2020,x,,larkei Rfriedrich 3
larkei,Rderzauberlehrling,6,2008,2009,,larkei Rderzauberlehrling 6
ranjon,Rkesselhaus,3,2018,x,,ranjon Rkesselhaus 3
elmsim,Rbalthasar,3,1996,x,,elmsim Rbalthasar 3
elmsim,Rbalthasar,5,1996,x,,elmsim Rbalthasar 5
micamm,Rgasthausjakob,3,2016,x,,micamm Rgasthausjakob 3
micamm,Rgasthausjakob,5,2016,x,,micamm Rgasthausjakob 5
Rchristiansrestaurantgasthofgrainer,micamm,4,2006,2012,,Rchristiansrestaurantgasthofgrainer micamm 4
Rlandhausfeckl,micamm,4,2012,2015,,Rlandhausfeckl micamm 4
simsch,Rpavoimburghotelfalkenstein,3,2017,x,,simsch Rpavoimburghotelfalkenstein 3
simsch,Rophelia,6,2012,2014,,simsch Rophelia 6
vjepav,Rdiebrasserie,3,2014,x,,vjepav Rdiebrasserie 3
vjepav,Rdiebrasserie,5,2014,x,,vjepav Rdiebrasserie 5
alehub,Rhuberwirt,3,2006,x,,alehub Rhuberwirt 3
alehub,Rhuberwirt,5,2017,x,,alehub Rhuberwirt 5
alehub,Rrestaurantbareiss,6,1997,2000,,alehub Rrestaurantbareiss 6
alehub,Rtantris,6,2002,2006,,alehub Rtantris 6
davsch,Rkochzimmerindergaststättezurratswaage,3,2016,x,,davsch Rkochzimmerindergaststättezurratswaage 3
,,,,,,  
torsch,Rnagaya,6,2014,2017,,torsch Rnagaya 6
torsch,Rgutlärchenhof,3,2017,x,,torsch Rgutlärchenhof 3
holber,torsch,1,NA,NA,,holber torsch 1
marlan,Rateliersanssouci,3,2021,x,,marlan Rateliersanssouci 3
steher,marlan,1,NA,NA,,steher marlan 1
antsch,Raska,5,2019,x,,antsch Raska 5
joswei,Rrestaurantbareiss,6,NA,NA,,joswei Rrestaurantbareiss 6
joswei,Rstorstad,6,2015,,,joswei Rstorstad 6
joswei,Rstorstad,3,2016,x,,joswei Rstorstad 3
antsch,Rstorstad,5,2014,x,,antsch Rstorstad 5
Rlandhausfeckl,antsch,4,NA,2004,,Rlandhausfeckl antsch 4
frafec,antsch,1,NA,2004,,frafec antsch 1
antsch,atssug,2,2019,NA,,antsch atssug 2
atssug,Raska,3,2019,x,,atssug Raska 3
antsch,maxsch,1,NA,NA,,antsch maxsch 1
maxsch,Rroterhahn,3,2020,x,,maxsch Rroterhahn 3
Rstorstad,maxsch,4,2014,2017,,Rstorstad maxsch 4
antsch,Rstorstad,3,2014,x,,antsch Rstorstad 3
iribet,Rreuter,3,2007,x,,iribet Rreuter 3
Rreuter,iribet,4,NA,2007,,Rreuter iribet 4
holstr,andmün,1,NA,NA,,holstr andmün 1
jeabou,andmün,2,NA,NA,,jeabou andmün 2
andmün,Rimschiffchen,6,NA,x,,andmün Rimschiffchen 6
andmün,Rgutshausstolpe,3,2007,2014,,andmün Rgutshausstolpe 3
andmün,Rderbutt,3,2018,x,,andmün Rderbutt 3
andmün,thohei,2,NA,NA,,andmün thohei 2
thohei,Rderbutt,6,NA,NA,,thohei Rderbutt 6
aloneu,Rtantris,6,NA,2012,,aloneu Rtantris 6
aloneu,Rhaubentaucher,5,2017,x,,aloneu Rhaubentaucher 5
aloneu,Rhaubentaucher,3,2017,x,,aloneu Rhaubentaucher 3
ralhau,Rfreustil,5,2013,x,,ralhau Rfreustil 5
ralhau,Rfreustil,3,2013,x,,ralhau Rfreustil 3
raipil,Rgenussapotheke,3,NA,NA,,raipil Rgenussapotheke 3
rolstr,Rgourmetrestaurantfinediningrs,5,1990,x,,rolstr Rgourmetrestaurantfinediningrs 5
marwai,Rgourmetrestaurantfinediningrs,3,NA,NA,,marwai Rgourmetrestaurantfinediningrs 3
harwoh,rolstr,2,NA,NA,,harwoh rolstr 2
heiwin,rolstr,2,NA,NA,,heiwin rolstr 2
alekun,Rkunzgourmet,3,1992,x,,alekun Rkunzgourmet 3
alekun,Rkunzgourmet,5,2003,x,,alekun Rkunzgourmet 5
patjen,Rkunzgourmet,3,NA,NA,,patjen Rkunzgourmet 3
alekun,patjen,2,NA,NA,,alekun patjen 2
gunehi,Rdiva,3,2008,x,,gunehi Rdiva 3
gunehi,Rschwarzerhahn,5,1997,1998,,gunehi Rschwarzerhahn 5
mansch,Rschwarzerhahn,3,1989,2003,,mansch Rschwarzerhahn 3
mansch,gunehi,2,1997,1998,,mansch gunehi 2
hanste,Rhirschen,5,1980,2008,,hanste Rhirschen 5
hanste,gunehi,2,1998,1999,,hanste gunehi 2
steher,Rcarrousel,3,1997,x,,steher Rcarrousel 3
steher,gunehi,2,2000,2001,,steher gunehi 2
gunehi,Roberländerweinstube,3,2002,2008,,gunehi Roberländerweinstube 3
robhau,Rjuwel,3,2016,x,,robhau Rjuwel 3
felweb,Rhofstube,3,2016,x,,felweb Rhofstube 3
helthi,felweb,2,NA,NA,,helthi felweb 2
nicbur,Rgourmetrestaurantnicoburkhardt,5,2018,x,,nicbur Rgourmetrestaurantnicoburkhardt 5
nicbur,Rgourmetrestaurantnicoburkhardt,3,2018,x,,nicbur Rgourmetrestaurantnicoburkhardt 3
