from,to,relationship,time,end,,
joager,Rfacil,6,2006,2015,,joager Rfacil 6
joager,Rfacil,3,2015,x,,joager Rfacil 3
sebfra,Rhorvath,3,2010,x,,sebfra Rhorvath 3
sebfra,Rhorvath,5,2014,x,,sebfra Rhorvath 5
retbrä,Rlorenzadlonesszimmer,3,2022,x,,retbrä Rlorenzadlonesszimmer 3
timrau,Rtimraue,5,2010,x,,timrau Rtimraue 5
timrau,Rtimraue,3,2010,x,,timrau Rtimraue 3
manulr,Röschnoir,3,2019,x,,manulr Röschnoir 3
tormic,manulr,2,2018,2019,,tormic manulr 2
manulr,Rschwarzwaldstube,6,2018,2019,,manulr Rschwarzwaldstube 6
Rhaerlin,manulr,4,2016,2018,,Rhaerlin manulr 4
chrrüf,manulr,1,2016,2018,,chrrüf manulr 1
jocbus,Rgustav,3,2015,x,,jocbus Rgustav 3
andkro,jocbus,2,2011,2015,,andkro jocbus 2
andkro,Rlafleur,3,2015,x,,andkro Rlafleur 3
dirlut,Rmeiereidirkluther,3,2006,x,,dirlut Rmeiereidirkluther 3
dirlut,Rmeiereidirkluther,5,2014,x,,dirlut Rmeiereidirkluther 5
edisig,Ressenz,3,2021,x,,edisig Ressenz 3
Rgutlärchenhof,edisig,4,2002,2005,,Rgutlärchenhof edisig 4
edisig,Rhugos,6,2005,2007,,edisig Rhugos 6
ebelan,edisig,2,2005,2007,,ebelan edisig 2
heiwin,edisig,2,2007,2008,,heiwin edisig 2
edisig,Rlesdeux,6,2013,2019,,edisig Rlesdeux 6
edisig,Rlesdeux,3,2019,2020,,edisig Rlesdeux 3
thoimb,R100200kitchen,3,2018,x,,thoimb R100200kitchen 3
thoimb,R100200kitchen,5,2018,x,,thoimb R100200kitchen 5
thoimb,Rvictorsfinediningbychristianbau,6,NA,NA,,thoimb Rvictorsfinediningbychristianbau 6
chrbau,thoimb,2,NA,NA,,chrbau thoimb 2
matfer,Rbianc,3,2017,x,,matfer Rbianc 3
chrrüf,Rhaerlin,3,2002,x,,chrrüf Rhaerlin 3
chrrüf,Rschwarzwaldstube,6,1996,1997,,chrrüf Rschwarzwaldstube 6
harwoh,chrrüf,2,1996,1997,,harwoh chrrüf 2
chrrüf,Rrestaurantbareiss,6,1997,1998,,chrrüf Rrestaurantbareiss 6
clalum,chrrüf,2,1997,1998,,clalum chrrüf 2
tonhoh,Rjante,3,2015,x,,tonhoh Rjante 3
tonhoh,Rjante,5,2015,x,,tonhoh Rjante 5
tonhoh,Rlorenzadlonesszimmer,6,NA,NA,,tonhoh Rlorenzadlonesszimmer 6
erimen,Rlemoissonnier,6,NA,NA,,erimen Rlemoissonnier 6
erimen,Rlemoissonnier,3,2008,x,,erimen Rlemoissonnier 3
dangot,Roxklee,3,2010,x,,dangot Roxklee 3
dangot,Roxklee,5,2010,x,,dangot Roxklee 5
dirhob,Rophelia,3,2010,x,,dirhob Rophelia 3
Rschwarzwaldstube,dirhob,6,2007,2010,,Rschwarzwaldstube dirhob 6
harwoh,dirhob,2,2007,2010,,harwoh dirhob 2
heiwin,chrrai,2,NA,NA,,heiwin chrrai 2
chrrai,Rlucedoro,3,2017,x,,chrrai Rlucedoro 3
dompau,Ropusv,3,2020,x,,dompau Ropusv 3
dompau,Ropusv,6,2013,2020,,dompau Ropusv 6
dompau,Rlepavillon,6,NA,NA,,dompau Rlepavillon 6
antgsc,Ratelier,3,2021,x,,antgsc Ratelier 3
antgsc,Rrestaurantbareiss,6,NA,NA,,antgsc Rrestaurantbareiss 6
clalum,antgsc,2,NA,NA,,clalum antgsc 2
antgsc,Racquarello,6,NA,NA,,antgsc Racquarello 6
margam,antgsc,2,NA,NA,,margam antgsc 2
chrjür,antgsc,1,2015,2015,,chrjür antgsc 1
harwoh,antgsc,1,2015,2015,,harwoh antgsc 1
Rschwarzwaldstube,antgsc,4,2015,2015,,Rschwarzwaldstube antgsc 4
Rrestaurantüberfahrtchristianjürgens,antgsc,4,2015,2015,,Rrestaurantüberfahrtchristianjürgens antgsc 4
bobbrä,Resszimmer,3,2013,x,,bobbrä Resszimmer 3
eckwit,bobbrä,2,1991,1992,,eckwit bobbrä 2
benchm,Rtantris,3,2020,x,,benchm Rtantris 3
tohnak,Rtohruinderschreiberei,3,2021,x,,tohnak Rtohruinderschreiberei 3
tohnak,Rtohruinderschreiberei,5,2021,x,,tohnak Rtohruinderschreiberei 5
tohnak,Rvendome ,3,2008,2010,,tohnak Rvendome  3
joawis,tohnak,2,2008,2010,,joawis tohnak 2
