id,name,type,sex,michelin_rating,0tio0lity,county,alive
ralkne,Ralph Knebel,chef,2,1,deutsch,0,1
Rerbprinz,Erbprinz,restaurant,0,1,0,bw,0
jörnet,Jörg Neth,chef,2,1,deutsch,0,1
Rwielandshöhe,Wielandshöhe,restaurant,0,1,0,bw,0
felgab,Felix Gabel,chef,2,1,deutsch,0,1
Rkai3,KAI3,restaurant,0,1,0,sh,0
Rbodendorfs,BODENDORF'S,restaurant,0,1,0,sh,0
holbod,Holger Bodendorf,chef,2,1,deutsch,0,1
Rgourmetrestaurantberlinskrone,Gourmetrestaurant Berlins Krone,restaurant,0,1,0,bw,0
fraber,Franz Berlin,chef,2,1,deutsch,0,1
Roswaldsgourmetstube,Oswald's Gourmetstube,restaurant,0,1,0,by,0
thoger,Thomas Gerber,chef,2,1,deutsch,0,1
denbrü,Denis Brühl,chef,0,1,deutsch,0,1
Rorangerie,Orangerie,restaurant,0,1,0,sh,0
lutnie,Lutz Niemann,chef,2,1,deutsch,0,1
tholem,Thomas Lemke,chef,2,1,0,0,1
Rbeckers,BECKER'S,restaurant,0,1,0,rp,0
wolbec,Wolfgang Becker,chef,2,1,deutsch,0,1
Rweinundtafelhaus,Wein- und Tafelhaus,restaurant,0,1,0,rp,0
aleoos,Alexander Oos,chef,2,1,deutsch,0,1
Ranima,Anima,restaurant,0,1,0,bw,0
heilac,Heiko Lachner,chef,2,1,deutsch,0,1
Rschlossfilseck,Schloss Filseck,restaurant,0,1,0,bw,0
dancor,Daniele Corona,chef,2,1,0,0,1
Rseestern,Seestern,restaurant,0,1,0,bw,0
klabud,Klaus Buderath,chef,2,1,deutsch,0,1
benwit,Benedikt Wittek,chef,2,1,deutsch,0,1
Rsiedepunkt,SIEDEPUNKT,restaurant,0,1,0,bw,0
henfri,Hendrik Friedrich,chef,2,1,deutsch,0,1
Rkulmeckbytomwickboldt,Kulmeck by Tom Wickboldt,restaurant,0,1,0,mv,0
tomwic,Tom Wickboldt,chef,2,1,deutsch,0,1
Rtheoroom,The O'ROOM,restaurant,0,1,0,mv,0
andkäh,André Kähler,chef,2,1,deutsch,0,1
Rlammrosswag,Lamm Rosswag,restaurant,0,1,0,bw,0
sterug,Steffen Ruggaber,chef,2,1,deutsch,0,1
Rhausstemberg,Haus Stemberg,restaurant,0,1,0,nw,0
sasste,Sascha Stemberg,chef,2,1,deutsch,0,1
Rschwarzeradler,Schwarzer Adler,restaurant,0,1,0,bw,0
Rweinstock,Weinstock,restaurant,0,1,0,by,0
corfis,Cornelia Fischer,chef,1,1,deutsch,0,1
Rbachofer,Bachofer,restaurant,0,1,0,bw,0
berbac,Bernd Bachofer,chef,2,1,deutsch,0,1
Rschwitzersgourmetrestaurant,Schwitzer's Gourmet-Restaurant,restaurant,0,1,0,bw,0
cedsch,Cedric Schwitzer,chef,2,1,0,0,1
Rgasthofkrone,Gasthof Krone,restaurant,0,1,0,bw,0
erimet,Erik Metzger,chef,2,1,deutsch,0,1
Rjohanns,Johanns,restaurant,0,1,0,by,0
micrei,Michael Simon Reis,chef,2,1,deutsch,0,1
Rlaurentius,Laurentius,restaurant,0,1,0,bw,0
jürkoc,Jürgen Koch,chef,2,1,deutsch,0,1
Rzeitgeist,zeit|geist,restaurant,0,1,0,bw,0
sebsyr,Sebastian Syrbe,chef,2,1,deutsch,0,1
holste,Holger Stehr,chef,2,1,deutsch,0,1
Radmiral,Admiral,restaurant,0,1,0,rp,0
Ralteüberfahrt,Alte Überfahrt,restaurant,0,1,0,bb,0
thohüb,Thomas Hübner,chef,2,1,deutsch,0,1
Rpietsch,Pietsch,restaurant,0,1,0,st,0
Rzeitwerk,Zeitwerk,restaurant,0,1,0,st,0
robpie,Robin Pietsch,chef,2,1,deutsch,0,1
Rente,Ente,restaurant,0,1,0,he,0
mickam,Michael Kammermeier,chef,2,1,deutsch,0,1
Rshiraz,Shiraz,restaurant,0,1,0,nw,0
alehop,Alexander Hoppe,chef,2,1,deutsch,0,1
Rkuno1408,Kuno 1408,restaurant,0,1,0,by,0
patgri,Patrick Grieshaber,chef,2,1,deutsch,0,1
robhof,Robin Hofmann,chef,2,1,deutsch,0,1
Rlandhausköpp,Landhaus Köpp,restaurant,0,1,0,nw,0
jürkop,Jürgen Köpp,chef,2,1,deutsch,0,1
Rapicius,Apicius,restaurant,0,1,0,ni,0
timext,Tim Extra,chef,2,1,deutsch,0,1
Raltepfarrey,Alte Pfarrey,restaurant,0,1,0,rp,0
Rfalco,Falco,restaurant,0,1,0,sn,0
maigeh,Maik Gehrke,chef,2,1,deutsch,0,1
petsch,Peter Maria Schnurr,chef,2,1,deutsch,0,1
Rsäpfle,s'Äpfle,restaurant,0,1,0,bw,0
aljfüt,Aljoscha Füting,chef,2,1,0,0,1
Rhirschgasselegourmet,Hirschgasse - Le Gourmet,restaurant,0,1,0,bw,0
Rschwingshacklesskulturgourmet,Schwingshackl ESSKULTUR Gourmet,restaurant,0,1,0,by,0
Rsanmartino,San Martino - Gourmet by Jochen Fecht,restaurant,0,1,0,bw,0
Rmarly,Marly,restaurant,0,1,0,bw,0
Rrestauranturgestein,Restaurant Urgestein,restaurant,0,1,0,rp,0
Rdasmaximilians,Das Maximilians,restaurant,0,1,0,by,0
Rrestaurant1797,Restaurant 1797,restaurant,0,1,0,sh,0
Raska,Aska,restaurant,0,1,0,by,0
marsau,Mario Sauer,chef,2,1,deutsch,0,1
erischw,Erich Schwingshackl,chef,2,1,italienisch,0,1
jocfec,Jochen Fecht,chef,2,1,deutsch,0,1
grerup,Gregor Ruppenthal,chef,2,1,deutsch,0,1
hedrin,Hedi Rink,chef,1,1,deutsch,0,1
guirig,Guiseppe Riggio,chef,2,1,italienisch,0,1
frafec,Franz Feckl,chef,2,1,deutsch,0,1
