id,name,type,sex,michelin_rating ,nationality ,county,alive
Rgrammonsrestaurant,Grammons Restaurant,restaurant,NA,1,NA,nw,1
dirgram,Dirk Grammon ,chef,2,1,deutsch,NA,1
Rthestage,The Stage,restaurant,NA,1,NA,nw,1
micdyl,Michael Dyllong,chef,2,1,deutsch,NA,1
geomim,Georgio Mimisa,chef,2,1,NA,NA,1
Relements,elements,restaurant,NA,1,NA,sn,1
stemieß,Stephan Mießner,chef,2,1,deutsch,NA,1
Rgenussatelier,Genuss-Atelier,restaurant,NA,1,NA,sn,1
marblo,Marcus Blonkowski,chef,2,1,deutsch,NA,1
Rhummelsgourmetstube,Hummels Gourmetstube,restaurant,NA,1,NA,by,1
stefhum,Stefan Hummel,chef,2,1,deutsch,NA,1
Rfalconera,falconera,restaurant,NA,1,NA,bw,1
Rmodbysvennöthel,Mod by Sven Nöthel,restaurant,NA,1,NA,nw,1
svenoe,Sven-Niklas Nöthel,chef,2,1,deutsch,NA,1
R1876danieldalben,1876 Daniel Dal-Ben,restaurant,NA,1,NA,nw,1
dandal,Daniel Dal-Ben,chef,2,1,NA,NA,1
Ragatas,Agata's,restaurant,NA,1,NA,nw,1
marfoe,Marcel Förster,chef,2,1,deutsch,NA,1
Rdrkosch,DR.KOSCH,restaurant,NA,1,NA,nw,1
voldrk,Volker Drkosch,chef,2,1,deutsch,NA,1
Rleflair,Le Flair,restaurant,NA,1,NA,nw,1
dancer,Dany Cerf,chef,2,1,schweizerisch,NA,1
yosnag,Yoshizumi Nagaya,chef,2,1,japanisch,NA,1
Rphoenix,phoenix,restaurant,NA,1,NA,nw,1
phiwol,Philipp Wolter,chef,2,1,deutsch,NA,1
Ryoshibynagaya,Yoshi by Nagaya,restaurant,NA,1,NA,nw,1
Rtraube,traube,restaurant,NA,1,NA,bw,1
brwaw,brianwawryk,chef,2,1,NA,NA,1
Rjean,Jean,restaurant,NA,1,NA,he,1
johfra,johannesfrankenbach,chef,2,1,NA,NA,1
Rmerklesrestaurant,Merkles Restaurant,restaurant,NA,1,NA,bw,1
thomer,thomasmerkle,chef,2,1,NA,NA,1
Rtroyka,troyka,restaurant,NA,1,NA,nw,1
alewul,alexanderwulf,chef,2,1,deutsch-russisch,NA,1
markok,marcelkokot,chef,2,1,NA,NA,1
Rhannappel,hannappel,restaurant,NA,1,NA,nw,1
tobwey,tobiasweyer,chef,2,1,NA,NA,1
Rschote,schote,restaurant,NA,1,NA,nw,1
nelmue,nelsonmueller,chef,2,1,NA,NA,1
Rbembergshäuschen,Bembergs Häuschen,restaurant,NA,1,NA,nw,1
filczm,Filip Czmok,chef,2,1,NA,NA,1
Ralteschuleklassenzimmer,Alte Schule - Klassenzimmer,restaurant,NA,1,NA,mv,1
kaylur,Kay Lurz,chef,2,1,deutsch,NA,1
Rdasgrace,Das Grace,restaurant,NA,1,NA,sh,1
quibru,Quirin Brundobler,chef,2,1,deutsch,NA,1
Raltwyk,Alt Wyk,restaurant,NA,1,NA,sh,1
rendit,René Dittrich,chef,2,1,deutsch,NA,1
Rphilippsoldan,Philipp Soldan,restaurant,NA,1,NA,he,1
eriarn,Erik Arnecke,chef,2,1,deutsch,NA,1
Rcarmelogreco,Restaurant Carmelo Greco,restaurant,NA,1,NA,he,1
benrus,Benedetto Russo,chef,2,1,italienisch,NA,1
cargre,Carmelo Greco,chef,2,1,italienisch,NA,1
Rernosbistro,Erno's Bistro,restaurant,NA,1,NA,he,1
valmat,Valéry Mathis,chef,2,1,NA,NA,1
Rmasajapanesecuisine,Masa Japanese Cuisine,restaurant,NA,1,NA,he,1
masoae,Masaru Oae,chef,2,1,japanisch,NA,1
Rsevenswans,Seven Swans,restaurant,NA,1,NA,he,1
ricsaw,Ricky Saward,chef,2,1,NA,NA,1
Rweinsinn,Weinsinn,restaurant,NA,1,NA,he,1
danple,Daniel Pletsch,chef,2,1,deutsch,NA,1
Rmichaelsleitenberg,Michael's Leitenberg,restaurant,NA,1,NA,by,1
micschl,Michael Schlaipfer,chef,2,1,deutsch,NA,1
Rgenießerstube,Genießer Stube,restaurant,NA,1,NA,ni,1
danrau,Daniel Raub,chef,2,1,deutsch,NA,1
Rchristianandfriendstastekitchen,"Christian & Friends, Tastekitchen",restaurant,NA,1,NA,he,1
chrste,Christian Steska,chef,2,1,deutsch,NA,1
Rwernersrestaurant,Werners Restaurant,restaurant,NA,1,NA,bw,1
edmsch,Edmund Schmidt,chef,2,1,deutsch,NA,1
Reckert,eckert,restaurant,NA,1,NA,bw,1
nicwied,Nicolai Wiedmer,chef,2,1,deutsch,NA,1
Rmühlenhelle,Mühlenhelle,restaurant,NA,2,NA,nw,1
micque,Michael Quendler,chef,2,1,österreichisch,NA,1
Rspeiseberg,Speiseberg,restaurant,NA,1,NA,st,1
Rratsstuben,Ratsstuben,restaurant,NA,1,NA,nw,1
dangeo,Daniel Georgiev,chef,2,1,deutsch,NA,1
Rjellyfish,Jellyfish,restaurant,NA,1,NA,hh,1
stefät,Stefan Fäth,chef,2,1,deutsch,NA,1
heiweh,Heinz Otto Wehmann,chef,2,1,deutsch,NA,1
Rlandhausscherrer,Landhaus Scherrer,restaurant,NA,1,NA ,hh,NA
wahnou,Wahabi Nouri,chef,2,1,deutsch,NA,1
Rpiment,Piment,restaurant,NA,1,NA,hh,NA
mauost,Maurizio Oster,chef,2,1,deutsch,NA,1
Rzeik,Zeik,restaurant,NA,1,NA,hh,NA
thowoh,Thomas Wohlfeld,chef,2,1,deutsch,NA,1
Rhandwerk,Handwerk,restaurant,NA,1,NA,ni,NA
robräd,Robert Rädel,chef,2,1,deutsch,NA,1
Roben,Oben,restaurant,NA,1,NA,bw,NA
petnie,Peter Niemann,chef,2,1,deutsch,NA,1
Rlavalleeverte,La Vallée Verte,restaurant,NA,1,NA,he,NA
conkai,Constantin Kaiser,chef,2,1,deutsch,NA,1
Rletable,L'étable,restaurant,NA,1,NA,he,NA
flovog,Florian Vogel,chef,2,1,deutsch,NA,1
Rcamersschlossrestaurant,Camers Schlossrestaurant,restaurant,NA,1,NA,by,NA
Rchevalblanc,Cheval Blanc,restaurant,NA,1,NA,by,NA
Igoyak,Igor Yakushchenko,chef,2,1,ukrainisch,NA,1
Rtawayamafine,Tawa Yama Fine,restaurant,NA,1,NA,bw,NA
joamal,Joannis Malathounis,chef,2,1,deutsch,NA,1
Rmalathounis,Malathounis,restaurant,NA,1,NA,bw,NA
thobell,Thomas Bellefontaine,chef,2,1,NA,NA,1
Rschlossloersfeld,Schloss Loersfeld,restaurant,NA,1,NA,nw,NA
dirsch,Dirk Schröer,chef,2,1,deutsch,NA,1
Rweinschänkeschlossgroenesteyn,Weinschänke Schloss Groenesteyn,restaurant,NA,1,NA,he,NA
chrgra,Christian Grainer,chef,2,1,deutsch,NA,1
Rchristiansrestaurantgasthofgrainer,Christian's Restaurant - Gasthof Grainer,restaurant,NA,1,NA,by,NA
mansch,Manfred Schwarz,chef,2,1,deutsch,NA,1
Rschwarzgourmet,Schwarz Gourmet,restaurant,NA,1,NA,rp,NA
fredes,Frederik Desch,chef,2,1,deutsch,NA,1
Rlaudensacksgourmetrestaurant,Laudensacks Gourmet Restaurant,restaurant,NA,1,NA,by,NA
frasey,Frank Seyfried,chef,2,1,deutsch,NA,1
Rgotthardts,Gotthardt's,restaurant,NA,1,NA,rp,NA
miksch,Mike Schiller,chef,2,1,deutsch,NA,1
Rschillersmanufaktur,Schiller's Manufaktur,restaurant,NA,1,NA,rp,NA
robcar,Roberto Carturan,chef,2,1,italienisch,NA,1
Ralfredo,Alfredo,restaurant,NA,1,NA,nw,NA
eriwer,Eric Werner,chef,2,1,deutsch,NA,1
Rastrein,Astrein,restaurant,NA,1,NA,nw,NA
marrad,Marlon Rademacher,chef,2,1,deutsch,NA,1
Rlacuisinerademacher,La Cuisine Rademacher,restaurant,NA,1,NA,nw,NA
leohof,Leon Hofmockel,chef,2,1,deutsch,NA,1
Rlasociete,La Société,restaurant,NA,1,NA,nw,NA
tobbec,Tobias Becker,chef,2,1,deutsch,NA,1
janmai,Jan Maier,chef,2,1,deutsch,NA,1
Rmaibeck,Maibeck,restaurant,NA,1,NA,nw,NA
maxlor,Maximilian Lorenz,chef,2,1,deutsch,NA,1
