from,to,relationship,time,end
chrbin,Rsteinheuersrestaurantzuraltenpost,6,2008,2015
sebobe,Rfalco,6,NA,NA
petsch,sebobe,2,NA,NA
sebobe,Rzweisinnmeiersfinedining,6,2016,NA
stemei,sebobe,2,2016,NA
sebobe,Robendorferseisvogel,3,2021,x
sebobe,Robendorferseisvogel,5,2022,x
yveoll,Ressigbrätlein,3,1997,x
felsch,Retz,3,2021,x
felsch,Retz,5,2021,x
marher,Rlepavillon,3,1991,x
Rlepavillon,marher,4,1982,NA
pethag,Rammolitethelighthouserestaurant,3,2012,x
pethag,Rschwarzwaldstube,6,1997,NA
harwoh,pethag,2,1997,NA
pethag,Rchevalblanc,6,NA,NA
silfab,Resplanade,3,2017,x
silfab,Rweinundtafelhaus,6,2007,2008
aleoos,silfab,2,2007,2008
silfab,Rwaldhotelsonnora,6,2008,2010
helthi,silfab,2,2008,2010
heiwin,silfab,2,2010,2011
silfab,Rgästehausklauserfort,6,2011,2017
klaerf,silfab,2,2011,2017
klaerf,Rgästehausklauserfort,3,2002,x
klaerf,Rgästehausklauserfort,5,2002,x
klaerf,Rrestaurantbareiss,6,1992,1993
clalum,klaerf,2,1992,1993
klaerf,Rschwarzwaldstube,6,1993,1994
harwoh,klaerf,2,1993,1994
sebsan,Rlouisrestaurant,3,2023,x
sebsan,Rlecerf,6,NA,NA
borrom,sebsan,2,NA,NA
sebsan,Rrüsselslandhaus,6,2022,2023
harrüs,sebsan,2,2022,2023
stegsc,Rspeisemeisterei,3,2016,x
douste,Rhirschen,3,1998,x
douste,Rhirschen,5,2008,x
Rhirschen,douste,4,NA,NA
harwoh,douste,2,NA,NA
douste,Rschwarzwaldstube,6,NA,NA
janber,Rsölringhof,3,2013,x
johkin,janber,2,2013,2022
johkin,Rsölringhof,3,2000,
johkin,Rsölringhof,5,2000,2022
frakel,johkin,2,1983,1984
johkin,Rhugos,6,1986,1987
janber,Rsölringhof,6,2009,2013
pauboc,frakel,1,NA,NA
chrsch,Rcourtier,3,2016,x
harwoh,chrsch,2,1998,2000
chrsch,Rschwarzwaldstube,6,1998,2000
aleher,Raurabyalexanderherrmanntobiasbätz,3,1996,x
aleher,Raurabyalexanderherrmanntobiasbätz,5,NA,NA
tobbät,Raurabyalexanderherrmanntobiasbätz,3,2009,x
tobbät,Raurabyalexanderherrmanntobiasbätz,6,2008,x
aleher,tobbät,2,2008,x
borrom,Rlecerf,3,2016,x
borrom,Rrestaurantbareiss,6,NA,NA
clalum,borrom,2,NA,NA
zsofod,Raloisdallmayrfinedining,6,NA,NA
zsofod,Rsolodu,3,2022,x
dansch2,Rmasters,3,2020,x
jasgro,Rdieburg,3,2017,x
Röschnoir,jasgro,4,2008,2011
benkri,Rpinkpepper,3,2022,x
benkri,Rpinkpepper,5,2022,x
benkri,Rrestaurantüberfahrtchristianjürgens,6,2012,2014
chrjür,benkri,2,2012,2014
markaz,Rdasgarboimlöwen,3,2017,x
chrwei,Rclararestaurantimkaisersaal,3,2021,x
Rlandhausscherrer,chrwei,4,NA,NA
heiweh,chrwei,1,NA,NA
chrwei,Rkai3,6,2021,2021
felgab,chrwei,2,2021,2021
jürket,Rkettnerskamota,3,NA,NA
jürket,Rkettnerskamota,5,NA,NA
jürket,Rvictorsfinediningbychristianbau,6,NA,NA
chrbau,jürket,2,NA,NA
jürket,Resplanade,6,NA,NA
silfab,jürket,2,NA,NA
patlöh,Rbidlabu,3,2022,x
patlöh,Rbidlabu,6,2018,2022
patlöh,Rschwarzeradler,6,2013,2018
patlöh,Rweinsinn,6,2018,2018
jocbus,patlöh,2,2018,2018
manwim,Rgourmetrestaurantimkarner,3,2022,x
henwei,Rcolombirestaurant,3,2022,x
henwei,Rletable,3,2019,2020
henwei,Rdasmaximilians,3,2020,2022
sveusi,Rcolombirestaurant,3,2022,x
sveusi,Rcolombirestaurant,6,2019,2022
sveusi,Rrestaurantbareiss,6,NA,NA
clalum,sveusi,2,NA,NA
frecam,Reichhalde,3,NA,NA
marfau,Rwolfshöhle,3,2022,x
marfau,Rtantris,6,1997,NA
hanhaa,marfau,2,1997,NA
frakel,marfau,2,2021,2021
kevbür,Rhaebel,3,2021,x
kevbür,Rlesdeux,6,NA,NA
kevbür,Rhaebel,6,2020,2021
davwei,Rverbene,3,NA,NA
Rzurtant,julkom,4,2008,NA
julkom,Rsahilatherestaurant,3,2022,x
julkom,Rsahilatherestaurant,5,2022,x
julkom,Rschlossloersfeld,3,2016,2018
klasch,Rkuultivo,3,NA,NA
klasch,Riko,6,NA,NA
tomels,klasch,2,NA,NA
tomels,Riko,5,NA,NA
tomels,Riko,3,NA,NA
denfei,Rmarburgeresszimmer,3,2022,x
joawis,denfei,2,1998,1999
