from,to,relationship,time,end
chrdet,Rletemple,5,1992,x
olisch,Rletemple,3,1992,x
olisch,Rletemple,5,1992,x
chrdet,Rwaldhotelsonnora,6,NA,NA
olisch,Rwaldhotelsonnora,6,NA,NA
tobschl,Rburgnideggenbrockelschlimbach,3,2017,x
herbro,Rburgnideggenbrockelschlimbach,3,2017,x
thogil,Rclostermannslegourmet,3,2018,x
matach,Rbuchnerwelchenberg1658,3,2014,x
markeb,Rseesteg,3,2012,x
markeb,Rsterneck,6,1995,2012
joakai,Rwirtshausmeyerskeller,3,1984,x
joakai,Rwirtshausmeyerskeller,5,1984,x
fabden,Rentenstuben,3,2014,x
fabden,Rentenstuben,5,2014,x
fabden,Rlorenzadlonesszimmer,6,2001,2003
fabden,Rwaldhotelsonnora,6,2010,2011
fabden,Rkochundkellner,6,2011,2014
felbru,Rkochundkellner,3,NA,x
vadkar,Rveles,3,2021,x
vadkar,Rveles,5,2021,x
valrot,Rwaidwerk,3,2018,x
valrot,Rsölringhof,6,NA,NA
stemei,Rzweisinnmeiersfinedining,3,2016,x
stemei,Rzweisinnmeiersfinedining,5,2016,x
stemei,Rgutlärchenhof,6,2008,2010
stemei,Rlammrosswag,6,2014,2016
petstr,Ressatelierstrauss,3,2011,x
chrwil,Rzurpost,3,2003,x
chrwil,Rzurpost,5,2003,x
alewil,Rzurpost,3,2003,x
alewil,Rzurpost,5,2003,x
flowag,Rsilberdistel,3,2018,x
johwuh,Rfalconera,3,2002,x
larkei,Rfriedrich,3,2020,x
larkei,Rderzauberlehrling,6,2008,2009
ranjon,Rkesselhaus,3,2018,x
elmsim,Rbalthasar,3,1996,x
elmsim,Rbalthasar,5,1996,x
micamm,Rgasthausjakob,3,2016,x
micamm,Rgasthausjakob,5,2016,x
Rchristiansrestaurantgasthofgrainer,micamm,4,2006,2012
Rlandhausfeckl,micamm,4,2012,2015
simsch,Rpavoimburghotelfalkenstein,3,2017,x
simsch,Rophelia,6,2012,2014
vjepav,Rdiebrasserie,3,2014,x
vjepav,Rdiebrasserie,5,2014,x
alehub,Rhuberwirt,3,2006,x
alehub,Rhuberwirt,5,2017,x
alehub,Rrestaurantbareiss,6,1997,2000
alehub,Rtantris,6,2002,2006
davsch,Rkochzimmerindergaststättezurratswaage,3,2016,x
torsch,Rnagaya,6,2014,2017
torsch,Rgutlärchenhof,3,2017,x
holber,torsch,1,NA,NA
marlan,Rateliersanssouci,3,2021,x
steher,marlan,1,NA,NA
antsch,Raska,5,2019,x
joswei,Rrestaurantbareiss,6,NA,NA
joswei,Rstorstad,6,2015,
joswei,Rstorstad,3,2016,x
antsch,Rstorstad,5,2014,x
Rlandhausfeckl,antsch,4,NA,2004
frafec,antsch,1,NA,2004
antsch,atssug,2,2019,NA
atssug,Raska,3,2019,x
antsch,maxsch,1,NA,NA
maxsch,Rroterhahn,3,2020,x
Rstorstad,maxsch,4,2014,2017
antsch,Rstorstad,3,2014,x
iribet,Rreuter,3,2007,x
Rreuter,iribet,4,NA,2007
holstr,andmün,1,NA,NA
jeabou,andmün,2,NA,NA
andmün,Rimschiffchen,6,NA,x
andmün,Rgutshausstolpe,3,2007,2014
andmün,Rgourmetrestaurantderbutt,3,2018,x
andmün,thohei,2,NA,NA
thohei,Rgourmetrestaurantderbutt,6,NA,NA
aloneu,Rtantris,6,NA,2012
aloneu,Rhaubentaucher,5,2017,x
aloneu,Rhaubentaucher,3,2017,x
ralhau,Rfreustil,5,2013,x
ralhau,Rfreustil,3,2013,x
raipil,Rgenussapotheke,3,NA,NA
rolstr,Rgourmetrestaurantfinediningrs,5,1990,x
marwai,Rgourmetrestaurantfinediningrs,3,NA,NA
harwoh,rolstr,2,NA,NA
heiwin,rolstr,2,NA,NA
alekun,Rkunzgourmet,3,1992,x
alekun,Rkunzgourmet,5,2003,x
patjen,Rkunzgourmet,3,NA,NA
alekun,patjen,2,NA,NA
gunehi,Rdiva,3,2008,x
gunehi,Rschwarzerhahn,5,1997,1998
mansch,Rschwarzerhahn,3,1989,2003
mansch,gunehi,2,1997,1998
hanste,Rhirschen,5,1980,2008
hanste,gunehi,2,1998,1999
steher,Rcarrousel,3,1997,x
steher,gunehi,2,2000,2001
gunehi,Roberländerweinstube,3,2002,2008
robhau,Rjuwel,3,2016,x
felweb,Rhofstube,3,2016,x
helthi,felweb,2,NA,NA
nicbur,Rgourmetrestaurantnicoburkhardt,5,2018,x
nicbur,Rgourmetrestaurantnicoburkhardt,3,2018,x
nicbur,Rlorenzadlonesszimmer,6,NA,x
heiwin,nicbur,1,NA,NA
karhau,nicbur,2,2011,2018
joswol,Reisenbahn,5,NA,x
joswol,Reisenbahn,3,NA,x
hanreb,Rreberspflug,5,1996,x
vinkli,hanreb,2,NA,NA
berdie,hanreb,2,NA,NA
hanreb,Rwielandshöhe,6,NA,NA
sebkau,Rkaupersrestaurantimkapellenhof,5,2010,x
sebkau,Rkaupersrestaurantimkapellenhof,3,2010,x
juaama,sebkau,2,NA,NA
sebkau,Ramador,6,NA,2009
phihel,Rjungborn,3,2016,x
dansch,phihel,2,2014,2016
micphi,Rphilipp,5,1998,x
micphi,Rphilipp,3,1998,x
frisch,micphi,1,NA,NA
gerwin,Rhirsch,5,1985,x
gerwin,Rhirsch,3,1985,x
maxmos,Raubergine,3,2012,x
maxmos,Raloisdallmayrfinedining,6,2004,2004
margam,maxmos,2,2006,2007
maxmos,Racquarello,6,2006,2007
aledin,Rfünf,6,2014,2016
aledin,Rfünf,3,2017,x
andhet,Rdelice,3,2014,x
andhet,Rdelice,5,2014,x
berdie,andhet,2,2011,2013
fabhel,Rderzauberlehrling,3,2016,x
wolbec,Rbeckers,5,1997,x
wolbec,Rbeckers,3,1997,x
fabhel,Rbeckers,6,NA,NA
wolbec,fabhel,2,NA,NA
chrjür,fabhel,2,NA,NA
fabhel,Rvictorsfinediningbychristianbau,6,NA,NA
chrbau,fabhel,2,NA,NA
michup,Rhupperts,3,2014,x
michup,Rhupperts,5,2014,x
micoet,Roettingersrestaurant,3,2005,2023
micoet,benben,2,2008,2008
benben,Rritzigourmet,3,2018,x
benben,Roettingersrestaurant,6,2008,2008
ralkne,benben,2,2010,2012
benben,Rerbprinz,6,2010,2012
holbod,benben,2,2015,2015
benben,Rbodendorfs,6,2015,2015
vinkli,Rwielandshöhe,3,1991,2022
vinkli,Rwielandshöhe,5,1991,x
jörnet,Rwielandshöhe,3,2012,x
vinkli,jörnet,2,2012,2022
felgab,Rkai3,3,2017,x
holbod,Rbodendorfs,3,2001,x
holbod,Rlandhausscherrer,6,1989,1990
fraber,Rgourmetrestaurantberlinskrone,3,2010,x
fraber,Rschlossberg,6,2007,2009
thoger,Roswaldsgourmetstube,3,2014,x
thoger,Rschlossberg,6,2001,2007
denbrü,Rbodendorfs,3,2020,x
holbod,Rbodendorfs,5,2011,x
fraber,Rgourmetrestaurantberlinskrone,6,2009,2010
thoger,Rlorenzadlonesszimmer,6,1998,2001
lutnie,Rorangerie,3,1990,x
tholem,Rorangerie,3,NA,x
lutnie,tholem,2,NA,x
holbod,denbrü,2,2020,x
wolbec,Rschwarzwaldstube,6,1994,1995
aleoos,Rweinundtafelhaus,5,2002,x
heilac,Ranima,5,2016,x
heilac,Rwaldhotelsonnora,6,2013,2013
heilac,Ropusv,6,2014,2017
dancor,Rschlossfilseck,3,2012,x
klabud,Rseestern,3,2018,x
klabud,Rlandhausscherrer,6,NA,NA
klabud,Rrestaurantbareiss,6,NA,NA
klabud,Rspeisemeisterei,6,NA,NA
klabud,benwit,2,2022,x
benwit,Rseestern,3,2022,x
benwit,Rwaldhotelsonnora,6,NA,NA
benwit,Rzweisinnmeiersfinedining,6,2018,2021
benwit,Rsiedepunkt,3,2021,2022
benwit,Ranthonyskitchen,3,NA,2018
henfri,Rsiedepunkt,3,2022,x
henfri,Rjellyfish,6,2015,2016
tomwic,Rkulmeckbytomwickboldt,5,2011,x
tomwic,Rlandhausfeckl,6,NA,NA
tomwic,Rtheoroom,3,2017,2019
andkäh,Rtheoroom,3,2019,x
andkäh,Rtheoroom,6,NA,2019
sterug,Rlammrosswag,3,2001,2002
sterug,Rlammrosswag,5,2002,x
sasste,Rhausstemberg,6,2003,2004
sasste,Rhausstemberg,3,2004,x
chrbau,Rschwarzeradler,3,2017,x
corfis,Rweinstock,3,2021,x
corfis,Rrestaurantüberfahrtchristianjürgens,6,2015,2018
berbac,Rbachofer,5,2003,x
berbac,Rwielandshöhe,6,NA,NA
cedsch,Rschwitzersgourmetrestaurant,3,2014,x
cedsch,Rrestaurantbareiss,6,NA,2014
erimet,Rgasthofkrone,6,2014,2016
erimet,Rgasthofkrone,3,2016,x
erimet,Rlandhausfeckl,6,NA,NA
micrei,Rjohanns,3,2013,x
jürkoc,Rlaurentius,5,1991,x
sebsyr,Rzeitgeist,3,2014,x
holste,Radmiral,3,2014,x
holste,Raltepfarrey,6,2003,2005
holste,Rgutlärchenhof,6,2012,2013
thohüb,Ralteüberfahrt,3,2016,x
thohüb,Rfacil,6,NA,NA
robpie,Rpietsch,5,2013,x
robpie,Rzeitwerk,5,2019,x
mickam,Rente,6,2002,2006
mickam,Rente,3,2006,x
alehop,Rshiraz,3,2020,x
alehop,Rrestaurantüberfahrtchristianjürgens,6,NA,NA
robhof,Rkuno1408,6,2020,2023
robhof,Rkuno1408,3,2023,x
patgri,Rclararestaurantimkaisersaal,6,2020,2022
patgri,Rkuno1408,3,2023,x
patgri,robhof,2,2023,x
jürkop,Rlandhausköpp,5,1991,x
jürkop,Rmühlenhelle,6,NA,NA
timext,Rapicius,3,2014,x
timext,Rschwarzwaldstube,6,2009,2009
timext,Rthetablekevinfehling,6,2017,2017
timtan,Rthenoname,3,2021,x
aljfüt,Rsäpfle,6,2021,2022
aljfüt,Rsäpfle,3,2022,2023
aljfüt,Rnobelhartundschmutzig,6,2023,x
marsau,Rhirschgasselegourmet,3,2007,2023
marsau,Rwaldhotelsonnora,6,NA,2007
erischw,Rschwingshacklesskulturgourmet,3,1994,1995
erischw,Raubergine,6,2006,2023
jocfec,Rsanmartino,3,2014,2023
grerup,Rmarly,3,1999,2023
grerup,Rmarly,5,1999,2023
benpfe,Rrestauranturgestein,3,NA,2017
hedrin,Rrestauranturgestein,3,2017,2023
hedrin,Rrestauranturgestein,5,2009,x
henwei,Rlecerf,6,2003,2008
guirig,Rrestaurant1797,3,NA,2023
maigeh,Raltepfarrey,3,2013,2023
maigeh,Rgutshausstolpe,6,2007,2010
petsch,Rhirschen,6,1992,1993
petsch,Rwaldhotelsonnora,6,1994,1995
petsch,Rimschiffchen,,1999,
petsch,Rfalco,3,2005,2023
petsch,Rfalco,5,2005,2023
