from,to,relationship,time,end
chrbin,Rsteinheuersrestaurantzuraltenpost,3,2015,9999
chrbin,Rsteinheuersrestaurantzuraltenpost,6,2008,2015
sebobe,Rfalco,6,99,99
petsch,sebobe,2,99,99
sebobe,Rzweisinnmeiersfinedining,6,2016,99
stemei,sebobe,2,2016,99
sebobe,Robendorferseisvogel,3,2021,9999
sebobe,Robendorferseisvogel,5,2022,9999
yveoll,Ressigbrätlein,3,1997,9999
felsch,Retz,3,2021,9999
felsch,Retz,5,2021,9999
marher,Rlepavillon,3,1991,9999
Rlepavillon,marher,4,1982,99
pethag,Rammolitethelighthouserestaurant,3,2012,9999
pethag,Rschwarzwaldstube,6,1997,99
harwoh,pethag,2,1997,99
pethag,Rchevalblanc,6,99,99
silfab,Resplanade,3,2017,9999
silfab,Rweinundtafelhaus,6,2007,2008
aleoos,silfab,2,2007,2008
silfab,Rwaldhotelsonnora,6,2008,2010
helthi,silfab,2,2008,2010
heiwin,silfab,2,2010,2011
silfab,Rgästehausklauserfort,6,2011,2017
klaerf,silfab,2,2011,2017
klaerf,Rgästehausklauserfort,3,2002,9999
klaerf,Rgästehausklauserfort,5,2002,9999
klaerf,Rrestaurantbareiss,6,1992,1993
clalum,klaerf,2,1992,1993
klaerf,Rschwarzwaldstube,6,1993,1994
harwoh,klaerf,2,1993,1994
sebsan,Rlouisrestaurant,3,2023,9999
sebsan,Rlecerf,6,99,99
borrom,sebsan,2,99,99
sebsan,Rrüsselslandhaus,6,2022,2023
harrüs,sebsan,2,2022,2023
stegsc,Rspeisemeisterei,3,2016,9999
douste,Rhirschen,3,1998,9999
douste,Rhirschen,5,2008,9999
Rhirschen,douste,4,99,99
harwoh,douste,2,99,99
douste,Rschwarzwaldstube,6,99,99
janber,Rsölringhof,3,2013,9999
johkin,janber,2,2013,2022
johkin,Rsölringhof,3,2000,
johkin,Rsölringhof,5,2000,2022
frakel,johkin,2,1983,1984
johkin,Rhugos,6,1986,1987
janber,Rsölringhof,6,2009,2013
pauboc,frakel,1,99,99
chrsch,Rcourtier,3,2016,9999
harwoh,chrsch,2,1998,2000
chrsch,Rschwarzwaldstube,6,1998,2000
aleher,Raurabyalexanderherrmanntobiasbätz,3,1996,9999
aleher,Raurabyalexanderherrmanntobiasbätz,5,99,99
tobbät,Raurabyalexanderherrmanntobiasbätz,3,2009,9999
tobbät,Raurabyalexanderherrmanntobiasbätz,6,2008,9999
aleher,tobbät,2,2008,9999
borrom,Rlecerf,3,2016,9999
borrom,Rrestaurantbareiss,6,99,99
clalum,borrom,2,99,99
zsofod,Raloisdallmayrfinedining,6,99,99
zsofod,Rsolodu,3,2022,9999
dansch2,Rmasters,3,2020,9999
jasgro,Rdieburg,3,2017,9999
Röschnoir,jasgro,4,2008,2011
benkri,Rpinkpepper,3,2022,9999
benkri,Rpinkpepper,5,2022,9999
benkri,Rrestaurantüberfahrtchristianjürgens,6,2012,2014
chrjür,benkri,2,2012,2014
markaz,Rdasgarboimlöwen,3,2017,9999
chrwei,Rclararestaurantimkaisersaal,3,2021,9999
Rlandhausscherrer,chrwei,4,99,99
heiweh,chrwei,1,99,99
chrwei,Rkai3,6,2021,2021
felgab,chrwei,2,2021,2021
jürket,Rkettnerskamota,3,99,99
jürket,Rkettnerskamota,5,99,99
jürket,Rvictorsfinediningbychristianbau,6,99,99
chrbau,jürket,2,99,99
jürket,Resplanade,6,99,99
silfab,jürket,2,99,99
patlöh,Rbidlabu,3,2022,9999
patlöh,Rbidlabu,6,2018,2022
patlöh,Rschwarzeradler,6,2013,2018
patlöh,Rweinsinn,6,2018,2018
jocbus,patlöh,2,2018,2018
manwim,Rgourmetrestaurantimkarner,3,2022,9999
henwei,Rcolombirestaurant,3,2022,9999
henwei,Rletable,3,2019,2020
henwei,Rdasmaximilians,3,2020,2022
sveusi,Rcolombirestaurant,3,2022,9999
sveusi,Rcolombirestaurant,6,2019,2022
sveusi,Rrestaurantbareiss,6,99,99
clalum,sveusi,2,99,99
frecam,Reichhalde,3,99,99
marfau,Rwolfshöhle,3,2022,9999
marfau,Rtantris,6,1997,99
hanhaa,marfau,2,1997,99
frakel,marfau,2,2021,2021
kevbür,Rhaebel,3,2021,9999
kevbür,Rlesdeux,6,99,99
kevbür,Rhaebel,6,2020,2021
davwei,Rverbene,3,99,99
Rzurtant,julkom,4,2008,99
julkom,Rsahilatherestaurant,3,2022,9999
julkom,Rsahilatherestaurant,5,2022,9999
julkom,Rschlossloersfeld,3,2016,2018
klasch,Rkuultivo,3,99,99
klasch,Riko,6,99,99
tomels,klasch,2,99,99
tomels,Riko,5,99,99
tomels,Riko,3,99,99
denfei,Rmarburgeresszimmer,3,2022,9999
joawis,denfei,2,1998,1999
chrbau,denfei,2,2001,2001
harbor,Rborst,3,99,99
maxbor,Rborst,3,99,99
harbor,Rborst,5,99,99
maxbor,Rschwarzwaldstube,6,99,99
maxbor,Rgästehausklauserfort,6,99,99
klaerf,maxbor,2,99,99
tormic,maxbor,2,99,99
danbod,Rbrothers,3,2022,9999
danbod,Rfalconera,6,2012,2013
johwuh,danbod,2,2012,2013
danbod,Rgästehausklauserfort,6,2013,2014
klaerf,danbod,2,2013,2014
danbod,Ratelier,6,2014,2017
janhar,danbod,2,2014,2017
danbod,Rschwarzwaldstube,6,2017,2019
tormic,danbod,2,2017,2019
danbod,Rtantris,3,2021,2022
